14:57:13, #X:,-46.8, #Y:,-5.28, #Z:,16.38, #Degree:,0, Number of Steps: ,0
14:57:14, #X:,0.076, #Y:,-6.761, #Z:,12.335, #Degree:,85, Number of Steps: ,0
14:57:15, #X:,0.019, #Y:,-6.751, #Z:,12.421, #Degree:,85, Number of Steps: ,0
14:57:16, #X:,-0.421, #Y:,-7.527, #Z:,14.787, #Degree:,85, Number of Steps: ,0
14:57:17, #X:,1.637, #Y:,0.191, #Z:,8.983, #Degree:,112, Number of Steps: ,1
14:57:18, #X:,-1.331, #Y:,-4.951, #Z:,12.766, #Degree:,83, Number of Steps: ,2
14:57:19, #X:,0.028, #Y:,-2.154, #Z:,8.245, #Degree:,104, Number of Steps: ,3
14:57:20, #X:,0.028, #Y:,-3.62, #Z:,13.187, #Degree:,90, Number of Steps: ,4
14:57:21, #X:,-0.335, #Y:,-4.721, #Z:,12.957, #Degree:,98, Number of Steps: ,4
14:57:22, #X:,-0.316, #Y:,-3.83, #Z:,10.056, #Degree:,101, Number of Steps: ,5
14:57:23, #X:,-1.005, #Y:,-5.583, #Z:,11.693, #Degree:,97, Number of Steps: ,5
14:57:24, #X:,-0.392, #Y:,-5.775, #Z:,12.124, #Degree:,100, Number of Steps: ,6
14:57:25, #X:,-0.545, #Y:,-4.367, #Z:,9.615, #Degree:,101, Number of Steps: ,7
14:57:26, #X:,-0.335, #Y:,-5.162, #Z:,11.052, #Degree:,102, Number of Steps: ,7
14:57:27, #X:,-0.316, #Y:,-7, #Z:,15.744, #Degree:,102, Number of Steps: ,7
14:57:28, #X:,-0.402, #Y:,-3.447, #Z:,11.866, #Degree:,101, Number of Steps: ,8
14:57:29, #X:,-0.181, #Y:,-3.189, #Z:,11.913, #Degree:,86, Number of Steps: ,9
14:57:30, #X:,0.957, #Y:,-2.959, #Z:,11.262, #Degree:,96, Number of Steps: ,10
14:57:31, #X:,-26.28, #Y:,-23.88, #Z:,27.54, #Degree:,120, Number of Steps: ,11
14:57:33, #X:,-0.498, #Y:,-3.524, #Z:,11.396, #Degree:,239, Number of Steps: ,12
14:57:34, #X:,-1.599, #Y:,-3.361, #Z:,11.205, #Degree:,264, Number of Steps: ,13
